"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.396304161E-2,-3.783040354E-1,1.442251409E0,-5.692738062E-1
4.403204168E-2,-3.060570082E-1,1.419921477E0,-3.832949263E-1
5.410204153E-2,-9.916439205E-2,1.207035465E0,-3.974352479E-2
6.417204160E-2,1.795703316E-1,9.919064605E-1,1.990912610E-1
7.424204168E-2,3.486165521E-1,9.189150828E-1,4.099699241E-1
8.431204152E-2,3.940149191E-1,1.013224239E0,6.240259641E-1
9.438204160E-2,2.315231350E-1,1.121517012E0,5.833410376E-1
1.044520417E-1,3.401518303E-1,1.141405731E0,6.125964117E-1
1.145220415E-1,2.829666460E-1,1.102222955E0,9.451047617E-1
1.245920416E-1,2.009462902E-1,1.194048214E0,9.061120194E-1
1.346620417E-1,2.297508439E-1,1.401739560E0,9.717978859E-1
1.447320415E-1,2.111087510E-1,1.662425975E0,8.840194845E-1
1.548020416E-1,1.367131644E-1,1.911132615E0,8.057018781E-1
1.648720417E-1,1.331633198E-1,2.048885999E0,8.719391370E-1
1.749420415E-1,2.107248813E-1,1.982395556E0,1.052766620E0
1.850120416E-1,4.968399605E-1,1.858908209E0,1.100568777E0
1.950810417E-1,7.451092288E-1,1.685116096E0,1.099142057E0
2.051510415E-1,7.807854304E-1,1.464062108E0,1.237634529E0
2.152210416E-1,8.392482314E-1,1.234755360E0,9.065786272E-1
2.252910417E-1,9.593591040E-1,9.256727099E-1,5.046211427E-1
2.353610415E-1,1.006731491E0,6.285230577E-1,6.190914989E-2
2.454310416E-1,8.593057890E-1,3.901186270E-1,-3.261635363E-1
2.555010417E-1,5.296459101E-1,1.010036337E-1,-4.764246994E-1
2.655710415E-1,2.780991313E-1,-2.039257389E-1,-4.715212244E-1
2.756410416E-1,1.326231833E-1,-4.276478112E-1,-5.297378576E-1
2.857110417E-1,-5.236941755E-2,-6.494572592E-1,-5.281661260E-1
2.957810415E-1,-1.475378224E-1,-8.211882287E-1,-3.945853150E-1
3.058510416E-1,-1.949084553E-1,-9.495223331E-1,-1.482269168E-1
3.159210416E-1,-2.585049655E-1,-9.288471633E-1,6.240733266E-2
3.259910415E-1,-1.620726849E-1,-8.483438677E-1,1.925938350E-1
3.360600416E-1,-2.083152437E-1,-8.914530498E-1,4.574557471E-1
3.461300416E-1,-1.702902156E-1,-8.798159212E-1,1.106252271E-1
3.562000415E-1,1.610644788E-2,-8.726466501E-1,2.211726862E-1
3.662700416E-1,9.048010737E-2,-8.141242075E-1,2.649671620E-1
3.763400416E-1,2.539762969E-1,-6.878471535E-1,2.409087932E-1
3.864100415E-1,3.925034139E-1,-5.958090556E-1,1.711649591E-1
3.964800416E-1,3.886587234E-1,-5.275802350E-1,-4.157662690E-2
4.065500416E-1,3.189948499E-1,-4.631877726E-1,-1.916582805E-1
4.166200415E-1,1.800553581E-1,-4.197850603E-1,-2.931314456E-1
4.266900416E-1,-3.588070795E-2,-3.616988200E-1,-4.029614514E-1
4.367600416E-1,-1.723336713E-1,-1.296456349E-1,-4.959777886E-1
4.468300415E-1,-2.000173138E-1,1.685687953E-1,-7.508462244E-1
4.569000416E-1,-1.073961022E-1,3.535647583E-1,-9.112189776E-1
4.669700416E-1,-2.086008802E-2,4.363110459E-1,-1.007598048E0
4.770400415E-1,1.011809506E-1,5.282672828E-1,-8.883756602E-1
4.871090415E-1,2.561916608E-1,5.733680266E-1,-1.140477778E0
4.971790416E-1,3.688781776E-1,4.531866950E-1,-1.371731649E0
5.072490417E-1,5.185617819E-1,3.802035034E-1,-1.106626493E0
5.173190415E-1,6.356951062E-1,3.772342873E-1,-1.029424535E0
5.273890416E-1,6.270052667E-1,4.581556588E-1,-1.229984032E0
5.374590417E-1,5.841926846E-1,4.986084509E-1,-1.013654594E0
5.475290415E-1,3.991332793E-1,5.296548271E-1,-7.058413750E-1
5.575990416E-1,2.405158603E-1,6.562926543E-1,-6.636291558E-1
5.676690417E-1,2.702705866E-1,8.652920222E-1,-6.150844020E-1
5.777390415E-1,1.603515570E-1,9.641807181E-1,-5.519251174E-1
5.878090416E-1,1.026579572E-1,9.428559226E-1,-6.561698627E-1
5.978790417E-1,1.096043032E-1,9.452597129E-1,-4.528586662E-1
6.079490415E-1,6.816830188E-2,1.065437536E0,-3.029068208E-1
6.180190416E-1,8.584268063E-2,1.163981246E0,-1.892626762E-1
6.280890417E-1,-3.183078021E-2,1.091545354E0,-2.217813814E-1
6.381580415E-1,2.967694370E-1,9.458315706E-1,-1.568702710E-1
6.482280416E-1,5.639917240E-1,7.193256390E-1,-2.066996580E-1
6.582980417E-1,6.830859120E-1,4.697272986E-1,-2.328700411E-1
6.683680415E-1,6.685498801E-1,3.374650347E-1,-2.859785467E-1
6.784380416E-1,5.276391457E-1,2.318198812E-1,-1.434789777E-1
6.885080417E-1,4.128732128E-1,6.139459491E-2,-7.696105242E-2
6.985780415E-1,2.982759722E-1,-3.184978366E-2,-7.366029918E-2
7.086480416E-1,2.408127527E-1,-1.299719095E-2,-6.432521939E-2
7.187180417E-1,2.461044829E-1,-4.594274282E-2,-3.542418659E-2
7.287880415E-1,2.570333675E-1,-1.516066074E-1,1.501325244E-1
7.388580416E-1,2.947281741E-1,-1.357372642E-1,3.489741093E-1
7.489280417E-1,3.453761713E-1,-9.303504825E-3,5.001503617E-1
7.589980415E-1,3.961364351E-1,1.889551127E-1,7.616436929E-1
7.690680416E-1,3.729180188E-1,4.433353060E-1,1.070156239E0
7.791380417E-1,4.077561682E-1,6.726467317E-1,1.321394139E0
7.892070415E-1,5.776055038E-1,7.856225395E-1,1.368772958E0
7.992770416E-1,6.128250378E-1,7.829211259E-1,1.157279752E0
8.093436665E-1,6.432698818E-1,6.973675901E-1,8.633741355E-1
8.194136666E-1,5.349699461E-1,4.517681605E-1,5.036019731E-1
8.294836667E-1,3.802477960E-1,1.293222839E-1,1.428451395E-1
8.395536665E-1,2.807639998E-1,-1.247789973E-1,-7.794046104E-2
8.496236666E-1,1.297269112E-1,-3.247204435E-1,-2.921344954E-1
8.596936667E-1,-3.029316714E-1,-3.828797740E-1,-2.322794724E-1
8.697636665E-1,-8.122884741E-1,-2.947815299E-1,2.932027817E-2
8.798336666E-1,-9.410160962E-1,-2.231683409E-1,3.977451503E-2
8.899036667E-1,-7.418456054E-1,-1.607411277E-1,2.481032073E-2
8.999736665E-1,-5.025757867E-1,-1.338585538E-1,2.708804512E-1
9.100436666E-1,-3.217143899E-1,-1.325119400E-1,4.883237833E-1
