"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.902699471E-2,6.506065814E1,2.546700527E1,1.327000046E1,NaN,NaN,3.739934952E1,3.000000000E1
4.857397079E-2,6.506065820E1,2.546700515E1,1.327000046E1,NaN,NaN,3.739319551E1,3.000000000E1
5.181598663E-2,6.506065820E1,2.546700515E1,1.327000046E1,NaN,NaN,3.739319859E1,3.000000000E1
1.961048007E0,6.506067166E1,2.546710870E1,1.327000046E1,NaN,NaN,3.773073463E1,3.000000000E1
4.715443969E0,6.506067112E1,2.546710849E1,1.327000046E1,NaN,NaN,4.016892931E1,3.000021392E1
4.729269028E0,6.506067112E1,2.546710849E1,1.327000046E1,NaN,NaN,4.016894188E1,3.000021392E1
4.736936927E0,6.506067112E1,2.546710849E1,1.327000046E1,NaN,NaN,4.016896963E1,3.000021392E1
8.408195972E0,6.506066830E1,2.546690438E1,1.327000046E1,NaN,NaN,2.939332842E1,3.000000000E1
9.616608024E0,6.506066826E1,2.546690126E1,1.327000046E1,NaN,NaN,3.000469197E1,3.000000000E1
3.109803200E1,6.506024965E1,2.546698321E1,1.327000046E1,NaN,NaN,3.196679233E1,3.000000000E1
3.231685698E1,6.506024464E1,2.546698421E1,1.327000046E1,NaN,NaN,3.244077754E1,3.000000000E1
3.873670793E1,6.506007236E1,2.546688812E1,1.327000046E1,NaN,NaN,2.817223537E1,3.000000000E1
3.909205663E1,6.506010342E1,2.546689682E1,1.715129840E1,1.118220687E0,NaN,2.725571828E1,5.094291187E1
4.009203458E1,6.506013843E1,2.546685709E1,1.659310197E1,1.118220687E0,NaN,2.558718764E1,2.778720308E1
4.109201396E1,6.506011994E1,2.546684031E1,1.538916297E1,1.101564765E0,NaN,2.496803392E1,2.487907025E1
4.209199190E1,6.506008169E1,2.546684596E1,1.552581231E1,2.452130765E-1,NaN,2.346215944E1,2.442842854E1
4.309197056E1,6.506003650E1,2.546683057E1,1.548863456E1,1.824164242E-1,NaN,2.038700066E1,2.266194058E1
4.404194975E1,6.505998586E1,2.546680203E1,1.593161986E1,6.330589652E-1,NaN,1.751574389E1,2.127816457E1
4.515583932E1,6.505998914E1,2.546680200E1,1.592187532E1,2.277364880E-1,NaN,1.653358889E1,2.009783326E1
4.610585785E1,6.505997552E1,2.546679866E1,1.598925540E1,5.944887549E-2,NaN,1.491959859E1,1.927200635E1
